task_type,sleep_hours,energy_level,day_of_week,hour_of_day,description_len,minutes
admin,7.2,9,3,16,60,31
creative,7.5,9,2,10,175,93
meeting,7.1,3,4,16,183,82
programming,8.0,8,4,14,19,99
programming,7.5,4,4,21,18,114
programming,7.1,7,4,9,96,109
programming,6.6,6,3,8,103,129
admin,7.1,8,4,12,61,31
admin,7.7,6,3,11,188,45
admin,7.4,4,6,14,31,19
meeting,7.6,2,0,21,82,81
creative,9.0,7,0,7,92,86
programming,7.4,4,4,17,81,110
meeting,6.0,9,4,18,127,84
creative,8.3,9,4,16,77,65
programming,5.0,7,0,9,14,98
programming,5.4,5,2,13,92,125
creative,7.5,3,0,19,130,94
programming,7.8,3,4,16,166,128
admin,5.1,9,2,20,15,43
programming,6.4,9,2,18,78,125
admin,6.1,4,1,10,67,32
programming,6.3,1,6,16,52,128
programming,8.4,10,3,11,81,89
admin,8.1,5,6,14,100,46
programming,7.0,8,4,7,46,100
meeting,6.2,10,3,7,67,52
programming,5.0,4,1,18,136,131
programming,9.1,10,3,13,46,104
programming,7.9,10,4,21,163,132
programming,5.9,4,1,19,179,139
planning,8.1,9,3,18,25,35
programming,6.9,9,0,15,159,113
meeting,6.6,7,2,10,119,67
programming,7.7,10,6,14,160,119
programming,5.9,8,1,16,184,123
planning,6.5,4,0,21,140,71
programming,7.2,8,4,13,21,103
planning,6.3,6,2,20,32,50
programming,8.0,3,6,8,120,125
admin,9.8,7,1,20,148,54
meeting,5.9,3,2,11,61,68
creative,4.5,7,5,15,187,103
admin,4.0,5,5,19,194,50
meeting,6.8,4,1,19,136,67
programming,6.0,3,1,15,183,141
programming,7.3,8,3,9,38,107
planning,7.2,4,2,17,130,50
programming,4.6,8,5,18,183,143
meeting,4.3,10,6,9,153,77
creative,7.4,3,5,8,188,100
programming,7.2,10,2,13,110,130
planning,6.4,9,5,12,20,24
admin,4.5,6,6,21,148,76
admin,7.7,5,0,11,190,53
creative,8.9,5,5,13,98,85
programming,7.4,3,5,10,67,103
programming,5.7,2,4,11,28,119
meeting,7.1,6,0,15,169,71
programming,5.0,1,3,21,59,168
admin,8.6,7,1,17,131,64
planning,7.1,5,6,15,81,62
meeting,4.3,4,5,10,64,57
programming,6.5,9,6,12,178,138
planning,7.7,10,3,8,108,59
meeting,6.5,1,3,9,79,73
meeting,6.6,4,0,15,158,79
meeting,5.2,3,6,12,126,100
planning,7.8,6,1,14,35,42
admin,6.0,5,4,21,138,46
creative,3.8,7,3,17,164,107
creative,6.4,1,4,11,187,96
programming,8.5,5,1,8,123,111
meeting,6.4,2,1,13,74,70
creative,9.6,2,0,12,19,78
meeting,7.6,2,6,17,104,78
creative,7.5,9,2,21,130,104
planning,6.8,10,6,8,135,60
admin,6.9,3,5,12,46,41
admin,6.6,4,0,19,78,36
creative,6.5,5,6,14,50,57
creative,7.8,4,4,19,183,114
meeting,5.6,4,6,7,54,59
programming,5.4,5,0,10,132,125
meeting,5.3,10,1,7,135,76
admin,10.0,9,3,8,36,38
meeting,7.8,9,5,7,93,55
admin,7.5,6,5,12,145,41
meeting,5.4,3,2,17,58,66
admin,7.9,6,1,12,105,43
programming,6.8,10,5,7,130,124
admin,7.3,4,5,10,123,46
meeting,5.5,3,3,20,23,79
programming,7.2,6,4,20,71,140
programming,6.4,6,4,20,52,144
admin,5.9,2,4,10,164,65
meeting,8.1,9,0,14,105,67
programming,4.7,8,4,12,36,123
planning,7.8,6,4,8,77,58
admin,8.0,1,0,11,136,55
planning,5.7,2,3,10,57,50
meeting,5.8,4,1,16,76,58
meeting,6.7,7,5,10,34,36
creative,7.4,9,2,18,128,91
meeting,6.8,10,5,14,161,84
admin,7.7,5,4,11,18,16
programming,9.6,10,4,9,145,108
meeting,6.2,2,6,16,104,70
programming,4.4,1,5,18,68,156
programming,8.2,10,5,21,26,122
programming,9.5,1,6,10,180,132
programming,7.6,5,4,7,104,114
planning,5.4,7,0,12,141,59
programming,6.8,9,0,17,110,117
admin,5.3,9,0,19,145,60
creative,8.0,8,2,21,51,88
admin,5.0,1,1,16,58,44
programming,6.5,5,4,10,15,92
admin,5.5,6,3,12,82,44
admin,7.2,6,5,8,179,61
admin,6.5,4,5,11,41,23
creative,7.3,1,4,17,152,108
planning,7.0,3,4,15,91,50
admin,5.5,10,4,14,78,41
programming,7.9,4,5,9,123,112
admin,6.9,4,6,7,36,18
programming,5.5,4,4,16,75,118
creative,10.0,5,5,9,196,83
programming,7.7,9,1,14,165,116
programming,6.8,4,3,17,161,131
creative,9.1,9,0,9,60,77
admin,9.8,9,6,11,158,55
